Battle #1: Oh no, the autobots are doomed!
Battle #300: Oh no, the autobots are doomed!
Battle #301: Autobots, roll out!
Battle #302: Oh no, the autobots are doomed!
Battle #303: Oh no, the autobots are doomed!
Battle #304: Oh no, the autobots are doomed!
Battle #305: Oh no, the autobots are doomed!
Battle #306: Oh no, the autobots are doomed!
Battle #307: Oh no, the autobots are doomed!
Battle #308: Oh no, the autobots are doomed!
Battle #309: Oh no, the autobots are doomed!
Battle #310: Autobots, roll out!
Battle #311: Oh no, the autobots are doomed!
Battle #312: Oh no, the autobots are doomed!
Battle #313: Oh no, the autobots are doomed!
Battle #314: Oh no, the autobots are doomed!
Battle #315: Oh no, the autobots are doomed!
Battle #316: Oh no, the autobots are doomed!
Battle #317: Oh no, the autobots are doomed!
Battle #318: Oh no, the autobots are doomed!
Battle #319: Oh no, the autobots are doomed!
Battle #320: Autobots, roll out!
Battle #321: Oh no, the autobots are doomed!
Battle #322: Oh no, the autobots are doomed!
Battle #323: Autobots, roll out!
Battle #324: Autobots, roll out!
Battle #325: Oh no, the autobots are doomed!
Battle #326: Autobots, roll out!
Battle #327: Oh no, the autobots are doomed!
Battle #328: Autobots, roll out!
Battle #329: Oh no, the autobots are doomed!
Battle #330: Oh no, the autobots are doomed!
Battle #331: Oh no, the autobots are doomed!
Battle #332: Autobots, roll out!
Battle #333: Oh no, the autobots are doomed!
Battle #334: Autobots, roll out!
Battle #335: Oh no, the autobots are doomed!
Battle #336: Oh no, the autobots are doomed!
Battle #337: Autobots, roll out!
Battle #338: Oh no, the autobots are doomed!
Battle #339: Oh no, the autobots are doomed!
Battle #340: Oh no, the autobots are doomed!
Battle #341: Autobots, roll out!
Battle #342: Oh no, the autobots are doomed!
Battle #343: Oh no, the autobots are doomed!
Battle #344: Oh no, the autobots are doomed!
Battle #345: Oh no, the autobots are doomed!
Battle #346: Oh no, the autobots are doomed!
Battle #347: Oh no, the autobots are doomed!
Battle #348: Oh no, the autobots are doomed!
Battle #349: Oh no, the autobots are doomed!
Battle #350: Oh no, the autobots are doomed!
Battle #351: Oh no, the autobots are doomed!
Battle #352: Oh no, the autobots are doomed!
Battle #353: Oh no, the autobots are doomed!
Battle #354: Oh no, the autobots are doomed!
Battle #355: Oh no, the autobots are doomed!
Battle #356: Oh no, the autobots are doomed!
Battle #357: Oh no, the autobots are doomed!
Battle #358: Autobots, roll out!
Battle #359: Autobots, roll out!
Battle #360: Oh no, the autobots are doomed!
Battle #361: Oh no, the autobots are doomed!
Battle #362: Oh no, the autobots are doomed!
Battle #363: Oh no, the autobots are doomed!
Battle #364: Oh no, the autobots are doomed!
Battle #365: Oh no, the autobots are doomed!
Battle #366: Oh no, the autobots are doomed!
Battle #367: Oh no, the autobots are doomed!
Battle #368: Oh no, the autobots are doomed!
Battle #369: Autobots, roll out!
Battle #370: Oh no, the autobots are doomed!
Battle #371: Oh no, the autobots are doomed!
Battle #372: Oh no, the autobots are doomed!
Battle #373: Oh no, the autobots are doomed!
Battle #374: Oh no, the autobots are doomed!
Battle #375: Oh no, the autobots are doomed!
Battle #376: Oh no, the autobots are doomed!
Battle #377: Oh no, the autobots are doomed!
Battle #378: Autobots, roll out!
Battle #379: Autobots, roll out!
Battle #380: Autobots, roll out!
Battle #381: Oh no, the autobots are doomed!
Battle #382: Oh no, the autobots are doomed!
Battle #383: Oh no, the autobots are doomed!
Battle #384: Oh no, the autobots are doomed!
Battle #385: Oh no, the autobots are doomed!
Battle #386: Oh no, the autobots are doomed!
Battle #387: Oh no, the autobots are doomed!
Battle #388: Oh no, the autobots are doomed!
Battle #389: Oh no, the autobots are doomed!
Battle #390: Autobots, roll out!
Battle #391: Oh no, the autobots are doomed!
Battle #392: Autobots, roll out!
Battle #393: Oh no, the autobots are doomed!
Battle #394: Oh no, the autobots are doomed!
Battle #395: Oh no, the autobots are doomed!
Battle #396: Oh no, the autobots are doomed!
Battle #397: Oh no, the autobots are doomed!
Battle #398: Oh no, the autobots are doomed!
Battle #399: Oh no, the autobots are doomed!
Battle #400: Autobots, roll out!
Battle #401: Oh no, the autobots are doomed!
Battle #402: Oh no, the autobots are doomed!
Battle #403: Oh no, the autobots are doomed!
Battle #404: Oh no, the autobots are doomed!
Battle #405: Oh no, the autobots are doomed!
Battle #406: Oh no, the autobots are doomed!
Battle #407: Autobots, roll out!
Battle #408: Autobots, roll out!
Battle #409: Autobots, roll out!
Battle #410: Oh no, the autobots are doomed!
Battle #411: Oh no, the autobots are doomed!
Battle #412: Oh no, the autobots are doomed!
Battle #413: Oh no, the autobots are doomed!
Battle #414: Oh no, the autobots are doomed!
Battle #415: Oh no, the autobots are doomed!
Battle #416: Oh no, the autobots are doomed!
Battle #417: Oh no, the autobots are doomed!
Battle #418: Oh no, the autobots are doomed!
Battle #419: Autobots, roll out!
Battle #420: Autobots, roll out!
Battle #421: Oh no, the autobots are doomed!
Battle #422: Autobots, roll out!
Battle #423: Autobots, roll out!
Battle #424: Oh no, the autobots are doomed!
Battle #425: Oh no, the autobots are doomed!
Battle #426: Oh no, the autobots are doomed!
Battle #427: Oh no, the autobots are doomed!
Battle #428: Oh no, the autobots are doomed!
Battle #429: Oh no, the autobots are doomed!
Battle #430: Autobots, roll out!
Battle #431: Oh no, the autobots are doomed!
Battle #432: Autobots, roll out!
Battle #433: Autobots, roll out!
Battle #434: Autobots, roll out!
Battle #435: Autobots, roll out!
Battle #436: Oh no, the autobots are doomed!
Battle #437: Autobots, roll out!
Battle #438: Autobots, roll out!
Battle #439: Autobots, roll out!
Battle #440: Autobots, roll out!
Battle #441: Autobots, roll out!
Battle #442: Autobots, roll out!
Battle #443: Autobots, roll out!
Battle #444: Autobots, roll out!
Battle #445: Oh no, the autobots are doomed!
Battle #446: Autobots, roll out!
Battle #447: Autobots, roll out!
Battle #448: Oh no, the autobots are doomed!
Battle #449: Autobots, roll out!
Battle #450: Autobots, roll out!
Battle #451: Autobots, roll out!
Battle #452: Autobots, roll out!
Battle #453: Autobots, roll out!
Battle #454: Oh no, the autobots are doomed!
Battle #455: Oh no, the autobots are doomed!
Battle #456: Autobots, roll out!
Battle #457: Oh no, the autobots are doomed!
Battle #458: Autobots, roll out!
Battle #459: Autobots, roll out!
Battle #460: Autobots, roll out!
Battle #461: Oh no, the autobots are doomed!
Battle #462: Oh no, the autobots are doomed!
Battle #463: Autobots, roll out!
Battle #464: Autobots, roll out!
Battle #465: Oh no, the autobots are doomed!
Battle #466: Oh no, the autobots are doomed!
Battle #467: Autobots, roll out!
Battle #468: Autobots, roll out!
Battle #469: Autobots, roll out!
Battle #470: Oh no, the autobots are doomed!
Battle #471: Autobots, roll out!
Battle #472: Oh no, the autobots are doomed!
Battle #473: Oh no, the autobots are doomed!
Battle #474: Oh no, the autobots are doomed!
Battle #475: Autobots, roll out!
Battle #476: Oh no, the autobots are doomed!
Battle #477: Autobots, roll out!
Battle #478: Oh no, the autobots are doomed!
Battle #479: Oh no, the autobots are doomed!
Battle #480: Oh no, the autobots are doomed!
Battle #481: Autobots, roll out!
Battle #482: Autobots, roll out!
Battle #483: Autobots, roll out!
Battle #484: Oh no, the autobots are doomed!
Battle #485: Autobots, roll out!
Battle #486: Autobots, roll out!
Battle #487: Oh no, the autobots are doomed!
Battle #488: Oh no, the autobots are doomed!
Battle #489: Oh no, the autobots are doomed!
Battle #490: Oh no, the autobots are doomed!
Battle #491: Autobots, roll out!
Battle #492: Autobots, roll out!
Battle #493: Autobots, roll out!
Battle #494: Autobots, roll out!
Battle #495: Autobots, roll out!
Battle #496: Oh no, the autobots are doomed!
Battle #497: Oh no, the autobots are doomed!
Battle #498: Oh no, the autobots are doomed!
Battle #499: Oh no, the autobots are doomed!
Battle #500: Oh no, the autobots are doomed!
Battle #501: Autobots, roll out!
Battle #502: Oh no, the autobots are doomed!
Battle #503: Oh no, the autobots are doomed!
Battle #504: Autobots, roll out!
Battle #505: Autobots, roll out!
Battle #506: Autobots, roll out!
Battle #507: Autobots, roll out!
Battle #508: Autobots, roll out!
Battle #509: Autobots, roll out!
Battle #510: Autobots, roll out!
Battle #511: Autobots, roll out!
Battle #512: Autobots, roll out!
Battle #513: Autobots, roll out!
Battle #514: Autobots, roll out!
Battle #515: Oh no, the autobots are doomed!
Battle #516: Oh no, the autobots are doomed!
Battle #517: Autobots, roll out!
Battle #518: Oh no, the autobots are doomed!
Battle #519: Oh no, the autobots are doomed!
Battle #520: Oh no, the autobots are doomed!
Battle #521: Oh no, the autobots are doomed!
Battle #522: Autobots, roll out!
Battle #523: Autobots, roll out!
Battle #524: Autobots, roll out!
Battle #525: Oh no, the autobots are doomed!
Battle #526: Autobots, roll out!
Battle #527: Autobots, roll out!
Battle #528: Autobots, roll out!
Battle #529: Oh no, the autobots are doomed!
Battle #530: Autobots, roll out!
Battle #531: Oh no, the autobots are doomed!
Battle #532: Oh no, the autobots are doomed!
Battle #533: Oh no, the autobots are doomed!
Battle #534: Oh no, the autobots are doomed!
Battle #535: Oh no, the autobots are doomed!
Battle #536: Oh no, the autobots are doomed!
Battle #537: Autobots, roll out!
Battle #538: Autobots, roll out!
Battle #539: Autobots, roll out!
Battle #540: Oh no, the autobots are doomed!
Battle #541: Autobots, roll out!
Battle #542: Autobots, roll out!
Battle #543: Oh no, the autobots are doomed!
Battle #544: Oh no, the autobots are doomed!
Battle #545: Autobots, roll out!
Battle #546: Autobots, roll out!
Battle #547: Autobots, roll out!
Battle #548: Oh no, the autobots are doomed!
Battle #549: Autobots, roll out!
Battle #550: Oh no, the autobots are doomed!
Battle #551: Autobots, roll out!
Battle #552: Oh no, the autobots are doomed!
Battle #553: Oh no, the autobots are doomed!
Battle #554: Autobots, roll out!
Battle #555: Oh no, the autobots are doomed!
Battle #556: Autobots, roll out!
Battle #557: Oh no, the autobots are doomed!
Battle #558: Autobots, roll out!
Battle #559: Oh no, the autobots are doomed!
Battle #560: Autobots, roll out!
Battle #561: Oh no, the autobots are doomed!
Battle #562: Autobots, roll out!
Battle #563: Oh no, the autobots are doomed!
Battle #564: Oh no, the autobots are doomed!
Battle #565: Autobots, roll out!
Battle #566: Autobots, roll out!
Battle #567: Oh no, the autobots are doomed!
Battle #568: Oh no, the autobots are doomed!
Battle #569: Oh no, the autobots are doomed!
Battle #570: Autobots, roll out!
Battle #571: Oh no, the autobots are doomed!
Battle #572: Oh no, the autobots are doomed!
Battle #573: Autobots, roll out!
Battle #574: Autobots, roll out!
Battle #575: Oh no, the autobots are doomed!
Battle #576: Autobots, roll out!
Battle #577: Autobots, roll out!
Battle #578: Oh no, the autobots are doomed!
Battle #579: Autobots, roll out!
Battle #580: Autobots, roll out!
Battle #581: Autobots, roll out!
Battle #582: Oh no, the autobots are doomed!
Battle #583: Autobots, roll out!
Battle #584: Autobots, roll out!
Battle #585: Autobots, roll out!
Battle #586: Oh no, the autobots are doomed!
Battle #587: Autobots, roll out!
Battle #588: Autobots, roll out!
Battle #589: Oh no, the autobots are doomed!
Battle #590: Autobots, roll out!
Battle #591: Autobots, roll out!
Battle #592: Autobots, roll out!
Battle #593: Autobots, roll out!
Battle #594: Oh no, the autobots are doomed!
Battle #595: Oh no, the autobots are doomed!
Battle #596: Oh no, the autobots are doomed!
Battle #597: Autobots, roll out!
Battle #598: Autobots, roll out!
Battle #599: Autobots, roll out!
Battle #600: Oh no, the autobots are doomed!
Battle #601: Autobots, roll out!
Battle #602: Autobots, roll out!
Battle #603: Autobots, roll out!
Battle #604: Autobots, roll out!
Battle #605: Autobots, roll out!
Battle #606: Oh no, the autobots are doomed!
Battle #607: Oh no, the autobots are doomed!
Battle #608: Oh no, the autobots are doomed!
Battle #609: Autobots, roll out!
Battle #610: Autobots, roll out!
Battle #611: Autobots, roll out!
Battle #612: Autobots, roll out!
Battle #613: Autobots, roll out!
Battle #614: Autobots, roll out!
Battle #615: Autobots, roll out!
Battle #616: Oh no, the autobots are doomed!
Battle #617: Oh no, the autobots are doomed!
Battle #618: Autobots, roll out!
Battle #619: Autobots, roll out!
Battle #620: Autobots, roll out!
Battle #621: Oh no, the autobots are doomed!
Battle #622: Autobots, roll out!
Battle #623: Autobots, roll out!
Battle #624: Oh no, the autobots are doomed!
Battle #625: Autobots, roll out!
Battle #626: Autobots, roll out!
Battle #627: Oh no, the autobots are doomed!
Battle #628: Oh no, the autobots are doomed!
Battle #629: Autobots, roll out!
Battle #630: Oh no, the autobots are doomed!
Battle #631: Autobots, roll out!
Battle #632: Oh no, the autobots are doomed!
Battle #633: Autobots, roll out!
Battle #634: Autobots, roll out!
Battle #635: Oh no, the autobots are doomed!
Battle #636: Oh no, the autobots are doomed!
Battle #637: Autobots, roll out!
Battle #638: Oh no, the autobots are doomed!
Battle #639: Oh no, the autobots are doomed!
Battle #640: Autobots, roll out!
Battle #641: Autobots, roll out!
Battle #642: Oh no, the autobots are doomed!
Battle #643: Oh no, the autobots are doomed!
Battle #644: Autobots, roll out!
Battle #645: Oh no, the autobots are doomed!
Battle #646: Oh no, the autobots are doomed!
Battle #647: Autobots, roll out!
Battle #648: Autobots, roll out!
Battle #649: Autobots, roll out!
Battle #650: Oh no, the autobots are doomed!
Battle #651: Oh no, the autobots are doomed!
Battle #652: Oh no, the autobots are doomed!
Battle #653: Autobots, roll out!
Battle #654: Oh no, the autobots are doomed!
Battle #655: Oh no, the autobots are doomed!
Battle #656: Autobots, roll out!
Battle #657: Autobots, roll out!
Battle #658: Autobots, roll out!
Battle #659: Oh no, the autobots are doomed!
Battle #660: Oh no, the autobots are doomed!
Battle #661: Autobots, roll out!
Battle #662: Oh no, the autobots are doomed!
Battle #663: Autobots, roll out!
Battle #664: Autobots, roll out!
Battle #665: Oh no, the autobots are doomed!
Battle #666: Autobots, roll out!
Battle #667: Oh no, the autobots are doomed!
Battle #668: Oh no, the autobots are doomed!
Battle #669: Oh no, the autobots are doomed!
Battle #670: Autobots, roll out!
Battle #671: Autobots, roll out!
Battle #672: Oh no, the autobots are doomed!
Battle #673: Oh no, the autobots are doomed!
Battle #674: Oh no, the autobots are doomed!
Battle #675: Oh no, the autobots are doomed!
Battle #676: Oh no, the autobots are doomed!
Battle #677: Autobots, roll out!
Battle #678: Autobots, roll out!
Battle #679: Autobots, roll out!
Battle #680: Oh no, the autobots are doomed!
Battle #681: Autobots, roll out!
Battle #682: Oh no, the autobots are doomed!
Battle #683: Oh no, the autobots are doomed!
Battle #684: Oh no, the autobots are doomed!
Battle #685: Autobots, roll out!
Battle #686: Autobots, roll out!
Battle #687: Oh no, the autobots are doomed!
Battle #688: Autobots, roll out!
Battle #689: Autobots, roll out!
Battle #690: Autobots, roll out!
Battle #691: Oh no, the autobots are doomed!
Battle #692: Autobots, roll out!
Battle #693: Autobots, roll out!
Battle #694: Autobots, roll out!
Battle #695: Oh no, the autobots are doomed!
Battle #696: Oh no, the autobots are doomed!
Battle #697: Oh no, the autobots are doomed!
Battle #698: Autobots, roll out!
Battle #699: Autobots, roll out!
Battle #700: Oh no, the autobots are doomed!
Battle #701: Oh no, the autobots are doomed!
Battle #702: Autobots, roll out!
Battle #703: Oh no, the autobots are doomed!
Battle #704: Autobots, roll out!
Battle #705: Oh no, the autobots are doomed!
Battle #706: Autobots, roll out!
Battle #707: Autobots, roll out!
Battle #708: Oh no, the autobots are doomed!
Battle #709: Autobots, roll out!
Battle #710: Oh no, the autobots are doomed!
Battle #711: Oh no, the autobots are doomed!
Battle #712: Autobots, roll out!
Battle #713: Autobots, roll out!
Battle #714: Autobots, roll out!
Battle #715: Autobots, roll out!
Battle #716: Autobots, roll out!
