Case #1: 153
2 12 423767
2 13 725123
2 14 328244
2 15 607667
2 16 635143
2 17 315598
2 18 101816
2 19 753973
2 20 422618
2 21 780787
2 22 776637
2 23 452234
2 24 89204
2 25 384320
3 6 932592
3 7 606780
3 9 975447
3 12 519182
3 14 387677
3 16 446596
3 17 827887
3 18 614105
3 20 907263
3 21 592240
3 23 263687
3 24 805125
4 7 604536
4 12 779990
4 13 901776
4 14 888937
4 16 919554
4 18 916343
4 20 391909
4 21 800980
4 24 903731
5 6 655345
5 8 789254
5 9 796047
5 10 601685
5 18 973832
5 20 689999
5 24 818806
5 25 753699
6 7 829316
6 8 798160
6 10 610591
6 11 630286
6 12 844070
6 14 544915
6 15 864325
6 16 851814
6 17 532269
6 18 318487
6 20 842921
6 21 544602
6 23 668905
6 24 393470
6 25 98354
7 9 872171
7 10 918970
7 14 284401
7 16 315018
7 17 724611
7 18 510829
7 20 996445
7 21 736944
7 23 408391
7 24 701849
7 25 927670
8 10 187569
8 12 917661
8 13 606367
8 14 822138
8 15 923153
8 17 809492
8 18 595710
8 20 916512
8 22 657881
8 23 946128
8 24 404690
8 25 699806
9 14 587770
9 16 894669
9 18 814198
9 23 711760
10 11 841540
10 12 730092
10 13 418798
10 14 634569
10 15 735584
10 16 941468
10 17 621923
10 18 408141
10 19 881890
10 20 728943
10 22 470312
10 23 758559
10 24 217121
10 25 512237
11 14 838235
11 17 825589
11 18 611807
11 23 962225
11 24 624419
11 25 594303
12 13 897948
12 14 752011
12 16 965778
12 17 583341
12 18 525583
12 20 388081
12 23 782869
12 24 512971
12 25 808087
13 18 826939
13 19 841222
13 20 509867
13 22 889110
13 24 635919
13 25 931035
14 15 935911
14 16 306899
14 17 440210
14 18 226428
14 20 750862
14 21 452543
14 23 123990
14 24 417448
14 25 643269
15 17 923265
15 18 709483
15 24 518463
15 25 765971
16 17 747109
16 18 533327
16 21 511462
16 23 182909
16 24 724347
16 25 950168
17 18 213782
17 20 738216
17 21 892753
17 23 564200
17 24 404802
17 25 630623
18 19 855789
18 20 524434
18 21 678971
18 22 878453
18 23 350418
18 24 191020
18 25 416841
19 21 878272
19 24 664769
19 25 959885
20 23 874852
20 24 511822
20 25 806938
21 23 328553
21 24 869991
21 25 642956
22 24 687433
22 25 982549
23 24 541438
23 25 767259
24 25 295116
Case #3: 249
1 2 675877
1 3 262036
1 4 242874
1 5 537739
1 6 593966
1 7 539924
1 8 423256
1 9 892075
1 10 292133
1 11 628619
1 12 106375
1 13 596472
1 14 425446
1 15 436578
1 16 397243
1 17 308010
1 18 358928
1 19 633907
1 20 306363
1 21 597518
1 22 409900
1 23 492489
2 3 518178
2 4 433003
2 5 495760
2 6 894540
2 7 454727
2 8 381277
2 9 850096
2 10 607648
2 11 818748
2 12 569502
2 13 915339
2 14 615575
2 15 692720
2 16 483920
2 17 370631
2 18 316949
2 19 591928
2 20 677245
2 21 540419
2 22 600029
2 23 407292
3 4 317283
3 5 380040
3 6 843543
3 7 512545
3 8 497665
3 9 734376
3 10 264754
3 11 601240
3 12 368411
3 13 738281
3 14 418927
3 15 174542
3 16 435837
3 17 382419
3 18 201229
3 19 476208
3 20 568399
3 21 439819
3 22 481053
3 23 465110
4 5 294865
4 6 589045
4 7 328804
4 8 180382
4 9 649201
4 10 383325
4 11 385745
4 12 136499
4 13 694307
4 14 182572
4 15 426957
4 16 283025
4 17 65136
4 18 116054
4 19 391033
4 20 270813
4 21 354644
4 22 167026
4 23 281369
5 6 824395
5 7 493397
5 8 475247
5 9 802393
5 10 245606
5 11 582092
5 12 431364
5 13 719133
5 14 477437
5 15 554582
5 16 577890
5 17 360001
5 18 178811
5 19 453790
5 20 536343
5 21 417401
5 22 461891
5 23 445962
6 7 660744
6 8 769427
6 10 578789
6 11 915275
6 12 487591
6 13 105262
6 14 771617
6 16 872070
6 17 523909
6 18 705099
6 19 980078
6 20 687579
6 21 943689
6 22 659420
6 23 613309
7 8 264888
7 9 733707
7 10 247791
7 11 501000
7 12 465303
7 13 555482
7 14 206895
7 15 451280
7 16 367531
7 17 263668
7 18 444858
7 19 518607
7 20 570282
7 21 683448
7 22 365558
7 23 47435
8 9 468819
8 10 417809
8 11 566127
8 12 316881
8 13 725500
8 14 362954
8 15 363938
8 16 102643
8 17 245518
8 18 296436
8 19 253719
8 20 421860
8 21 535026
8 22 347408
8 23 217453
9 10 886628
9 11 556500
9 12 785700
9 14 526812
9 15 655223
9 16 571462
9 17 586829
9 18 623582
9 19 722538
9 20 890679
9 21 384992
9 22 816227
9 23 686272
10 11 336486
10 12 398508
10 13 473527
10 14 454686
10 15 439296
10 16 520452
10 17 416589
10 18 424417
10 19 671528
10 20 598496
10 21 663007
10 22 216299
10 23 200356
11 12 522244
11 13 810013
11 14 568317
11 15 775782
11 16 668770
11 17 450881
11 18 501799
11 19 776778
11 20 576572
11 21 740389
11 22 552771
11 23 453565
12 13 592853
12 14 319071
12 15 542953
12 16 419524
12 17 201635
12 18 252553
12 19 527532
12 20 199988
12 21 491143
12 22 303525
12 23 417868
13 14 762377
13 15 912823
13 16 828143
13 17 629171
13 18 810361
13 19 979219
13 20 693437
13 22 554158
13 23 508047
14 15 244385
14 16 465597
14 17 247708
14 18 298626
14 19 573605
14 20 374051
14 21 537216
14 22 349598
14 23 254330
15 16 261295
15 17 492093
15 18 375771
15 19 617657
15 20 618436
15 21 614361
15 22 593983
15 23 498715
16 17 348161
16 18 399079
16 19 356362
16 20 524503
16 21 637669
16 22 450051
16 23 320096
17 18 181190
17 19 456169
17 20 306614
17 21 419780
17 22 232162
17 23 216233
18 19 274979
18 20 386867
18 21 238590
18 22 283080
18 23 397423
19 20 661846
19 21 427981
19 22 558059
19 23 471172
20 21 625457
20 22 437839
20 23 522847
21 22 521670
21 23 636013
22 23 318123
Case #4: 4
1 3 927395
4 5 845475
5 6 522813
6 7 855540
Case #5: 27
1 2 406351
1 3 97418
1 5 576801
1 6 602809
1 8 725238
1 9 309360
2 3 308933
2 4 972121
2 5 365286
2 6 814298
2 7 743615
2 8 936753
2 9 520875
3 5 570051
3 6 700227
3 8 627820
3 9 211942
4 5 606835
4 6 818725
4 8 574209
4 9 964944
5 7 998358
5 8 773987
5 9 358109
6 9 660394
7 8 826120
8 9 415878
Case #6: 13
1 2 626607
1 3 223894
1 4 379884
1 6 621880
2 3 402713
2 4 558703
2 5 379193
2 6 800699
3 4 155990
3 5 781906
3 6 397986
4 5 937896
4 6 553976
Case #7: 72
1 2 655399
1 3 890596
1 10 676915
1 13 414061
1 22 980544
1 38 704041
2 16 803661
2 19 749982
2 21 368163
2 26 615291
2 46 898001
3 26 964754
4 10 847652
4 45 684947
5 36 674757
6 35 871827
6 44 674811
6 48 940635
7 46 637295
8 38 936996
8 48 763747
10 17 368531
10 45 856700
11 12 828241
11 13 689336
11 30 560623
11 47 730672
12 16 321239
12 21 756737
12 30 267618
12 35 551402
12 42 327850
12 44 748418
13 22 566483
13 33 621661
13 43 881579
16 19 817317
16 21 435498
16 29 950065
16 30 588857
16 35 872641
16 42 649089
16 46 965336
17 20 874054
18 34 459547
18 49 854751
19 20 906648
19 21 381819
19 27 863133
19 28 561606
19 39 335958
19 46 911657
21 22 732286
21 26 983454
21 28 870740
21 39 717777
21 46 529838
22 50 591809
23 27 609756
23 49 698707
26 33 919977
28 39 897564
30 35 819020
30 42 595468
33 41 638285
34 49 395204
35 42 879252
35 44 197016
35 48 856872
36 42 842281
39 48 678286
44 48 659856
Case #8: 6
1 4 638566
1 10 508567
2 10 751974
4 7 776733
6 11 794887
10 11 920953
Case #9: 741
1 2 126012
1 3 178645
1 4 91235
1 5 186665
1 6 170346
1 7 150741
1 8 112480
1 9 295106
1 10 133175
1 11 142993
1 12 134899
1 13 181067
1 14 142173
1 15 177368
1 16 136347
1 17 128043
1 18 69837
1 19 126092
1 20 159563
1 21 55894
1 22 224220
1 23 276654
1 24 78737
1 25 39297
1 26 113940
1 27 255508
1 28 130976
1 29 111470
1 30 66368
1 31 369809
1 32 185773
1 33 106734
1 34 127838
1 35 130850
1 36 135115
1 37 82670
1 38 126552
1 39 195787
2 3 135195
2 4 105459
2 5 75493
2 6 199050
2 7 160472
2 8 136240
2 9 304841
2 10 142906
2 11 119165
2 12 182317
2 13 223177
2 14 156397
2 15 187099
2 16 160107
2 17 142267
2 18 84061
2 19 140316
2 20 138120
2 21 103312
2 22 223959
2 23 165482
2 24 92961
2 25 86715
2 26 157491
2 27 281680
2 28 145200
2 29 125694
2 30 108478
2 31 345981
2 32 161945
2 33 141986
2 34 143736
2 35 140581
2 36 149339
2 37 96894
2 38 83102
2 39 69775
3 4 137144
3 5 132178
3 6 156311
3 7 218531
3 8 167925
3 9 169646
3 10 181289
3 11 175850
3 12 234950
3 13 202238
3 14 124926
3 15 222734
3 16 191014
3 17 144268
3 18 136694
3 19 172001
3 20 179802
3 21 122751
3 22 270129
3 23 222167
3 24 99908
3 25 139348
3 26 188292
3 27 275290
3 28 176885
3 29 178327
3 30 112277
3 31 385866
3 32 218246
3 33 172893
3 34 193997
3 35 178964
3 36 137196
3 37 128579
3 38 172461
3 39 204970
4 5 145164
4 6 143325
4 7 125215
4 8 80515
4 9 253605
4 10 73829
4 11 101492
4 12 147540
4 13 160514
4 14 100672
4 15 118022
4 16 104382
4 17 36808
4 18 49284
4 19 84591
4 20 86486
4 21 35341
4 22 182719
4 23 230217
4 24 37236
4 25 51938
4 26 88414
4 27 222897
4 28 89475
4 29 90917
4 30 24867
4 31 328308
4 32 144272
4 33 86261
4 34 107365
4 35 71504
4 36 43880
4 37 41169
4 38 85051
4 39 175234
5 6 206151
5 7 162565
5 8 143341
5 9 290689
5 10 135182
5 11 43672
5 12 223269
5 13 219844
5 14 196102
5 15 179375
5 16 167208
5 17 112305
5 18 144714
5 19 96098
5 20 62627
5 21 130771
5 22 205007
5 23 89989
5 24 132666
5 25 147368
5 26 149767
5 27 288781
5 28 152301
5 29 120256
5 30 120297
5 31 270488
5 32 86452
5 33 149087
5 34 129769
5 35 132857
5 36 105233
5 37 103995
5 38 158595
5 39 145268
6 7 166652
6 8 110544
6 9 278232
6 10 178157
6 11 162479
6 12 221430
6 13 211927
6 14 194263
6 15 66423
6 16 86677
6 17 147637
6 18 142875
6 19 145578
6 20 156802
6 21 114452
6 22 276310
6 23 240639
6 24 130827
6 25 131049
6 26 129851
6 27 118979
6 28 150462
6 29 107702
6 30 118458
6 31 362401
6 32 205259
6 33 68556
6 34 89660
6 35 112941
6 36 154709
6 37 102156
6 38 178642
6 39 254345
7 8 132503
7 9 299109
7 10 125428
7 11 205165
7 12 201209
7 13 225032
7 14 188621
7 15 100229
7 16 147516
7 17 88407
7 18 141984
7 19 157412
7 20 123941
7 21 128041
7 22 210816
7 23 220478
7 24 125185
7 25 111444
7 26 36801
7 27 178369
7 28 202162
7 29 145475
7 30 137554
7 31 389070
7 32 247945
7 33 138249
7 34 159353
7 35 53711
7 36 81335
7 37 153856
7 38 77370
7 39 230247
8 9 215422
8 10 76467
8 11 99669
8 12 158620
8 13 101383
8 14 131453
8 15 125310
8 16 23867
8 17 113488
8 18 80065
8 19 82768
8 20 130076
8 21 66122
8 22 213500
8 23 216103
8 24 88965
8 25 73183
8 26 95702
8 27 145440
8 28 87652
8 29 44892
8 30 55648
8 31 326485
8 32 142449
8 33 84038
8 34 62934
8 35 78792
8 36 120560
8 37 39346
8 38 115832
8 39 206015
9 10 281543
9 11 247017
9 12 351411
9 13 316805
9 14 279805
9 15 299463
9 16 239289
9 17 290413
9 18 253155
9 19 288462
9 20 309414
9 21 239212
9 22 362596
9 23 243894
9 24 216369
9 25 255809
9 26 304753
9 27 360862
9 28 270086
9 29 260314
9 30 228738
9 31 227670
9 32 204237
9 33 263376
9 34 242272
9 35 294214
9 36 297485
9 37 245040
9 38 221739
9 39 374616
10 11 175321
10 12 189480
10 13 177850
10 14 171055
10 15 118235
10 16 91480
10 17 37021
10 18 123113
10 19 106026
10 20 86699
10 21 109170
10 22 200661
10 23 225171
10 24 111065
10 25 93878
10 26 88627
10 27 221907
10 28 163304
10 29 94089
10 30 98696
10 31 356002
10 32 144819
10 33 124421
10 34 103317
10 35 71717
10 36 44093
10 37 114998
10 38 59804
10 39 212681
11 12 179597
11 13 201052
11 14 152430
11 15 138006
11 16 123536
11 17 138300
11 18 101042
11 19 103745
11 20 106299
11 21 87099
11 22 234477
11 23 133661
11 24 109942
11 25 103696
11 26 168364
11 27 245109
11 28 108629
11 29 142675
11 30 76625
11 31 226816
11 32 42780
11 33 105415
11 34 126519
11 35 172996
11 36 145372
11 37 60323
11 38 136809
11 39 188940
12 13 181311
12 14 198478
12 15 194016
12 16 182487
12 17 184348
12 18 147090
12 19 140449
12 20 215868
12 21 112199
12 22 280525
12 23 257365
12 24 135042
12 25 95602
12 26 164408
12 27 225368
12 28 167580
12 29 167775
12 30 122673
12 31 372293
12 32 222377
12 33 163039
12 34 184143
12 35 181318
12 36 191420
12 37 119274
12 38 182857
12 39 252092
13 14 165766
13 15 217839
13 16 125250
13 17 190518
13 18 139116
13 19 161904
13 20 228842
13 21 125173
13 22 247813
13 23 309833
13 24 148016
13 25 141770
13 26 188231
13 27 246823
13 28 189035
13 29 146275
13 30 135647
13 31 427868
13 32 234104
13 33 185421
13 34 164317
13 35 171321
13 36 183446
13 37 140729
13 38 195831
13 39 265066
14 15 210285
14 16 155320
14 17 137480
14 18 100222
14 19 135529
14 20 187158
14 21 86279
14 22 233657
14 23 286091
14 24 63436
14 25 102876
14 26 151820
14 27 273835
14 28 140413
14 29 141855
14 30 75805
14 31 379246
14 32 195210
14 33 137199
14 34 158303
14 35 168730
14 36 144552
14 37 92107
14 38 135989
14 39 226172
15 16 140323
15 17 81214
15 18 158897
15 19 150219
15 20 116748
15 21 144954
15 22 244854
15 23 174216
15 24 151812
15 25 138071
15 26 63428
15 27 185402
15 28 199088
15 29 138282
15 30 134480
15 31 295978
15 32 180786
15 33 134979
15 34 152160
15 35 46518
15 36 88286
15 37 150782
15 38 173389
15 39 232658
16 17 128501
16 18 103932
16 19 106635
16 20 117859
16 21 89989
16 22 237367
16 23 239970
16 24 112832
16 25 97050
16 26 110715
16 27 169307
16 28 111519
16 29 68759
16 30 79515
16 31 350352
16 32 166316
16 33 71821
16 34 50717
16 35 93805
16 36 135573
16 37 63213
16 38 139699
16 39 229882
17 18 86092
17 19 121399
17 20 49678
17 21 72149
17 22 219527
17 23 193409
17 24 74044
17 25 88746
17 26 51606
17 27 193174
17 28 126283
17 29 107307
17 30 61675
17 31 318981
17 32 177190
17 33 119234
17 34 116820
17 35 34696
17 36 7072
17 37 77977
17 38 92175
17 39 212042
18 19 84141
18 20 117612
18 21 34891
18 22 182269
18 23 234703
18 24 36786
18 25 51488
18 26 105183
18 27 222447
18 28 89025
18 29 69519
18 30 24417
18 31 327858
18 32 143822
18 33 85811
18 34 87561
18 35 120788
18 36 93164
18 37 40719
18 38 84601
18 39 153836
19 20 158725
19 21 70198
19 22 217576
19 23 186087
19 24 93041
19 25 86795
19 26 120611
19 27 228208
19 28 91728
19 29 125774
19 30 59724
19 31 330561
19 32 146525
19 33 88514
19 34 109618
19 35 103701
19 36 128471
19 37 43422
19 38 119908
19 39 210091
20 21 103669
20 22 267634
20 23 152616
20 24 123722
20 25 120266
20 26 87140
20 27 228708
20 28 125199
20 29 85184
20 30 111353
20 31 333115
20 32 149079
20 33 88246
20 34 67142
20 35 70230
20 36 56750
20 37 127655
20 38 127709
20 39 201122
21 22 168326
21 23 220760
21 24 22843
21 25 16597
21 26 91240
21 27 208504
21 28 75082
21 29 55576
21 30 10474
21 31 313915
21 32 129879
21 33 71868
21 34 73618
21 35 106845
21 36 79221
21 37 26776
21 38 70658
21 39 139893
22 23 294996
22 24 191169
22 25 184923
22 26 247617
22 27 322994
22 28 222460
22 29 223902
22 30 157852
22 31 461293
22 32 277257
22 33 219246
22 34 240350
22 35 254223
22 36 225960
22 37 174154
22 38 140857
22 39 201125
23 24 222655
23 25 237357
23 26 183677
23 27 291425
23 28 242290
23 29 210245
23 30 210286
23 31 360477
23 32 176441
23 33 239076
23 34 219758
23 35 166767
23 36 194391
23 37 193984
23 38 190426
23 39 235257
24 25 39440
24 26 88384
24 27 231347
24 28 97925
24 29 78419
24 30 33317
24 31 336758
24 32 152722
24 33 73763
24 34 94867
24 35 105294
24 36 81116
24 37 49619
24 38 93501
24 39 162736
25 26 74643
25 27 216211
25 28 91679
25 29 72173
25 30 27071
25 31 330512
25 32 146476
25 33 67437
25 34 88541
25 35 91553
25 36 95818
25 37 43373
25 38 87255
25 39 156490
26 27 175388
26 28 165361
26 29 108674
26 30 100753
26 31 352269
26 32 211144
26 33 101448
26 34 122552
26 35 16910
26 36 58678
26 37 117055
26 38 114171
26 39 193446
27 28 233092
27 29 190332
27 30 198030
27 31 471925
27 32 267152
27 33 187535
27 34 208374
27 35 158478
27 36 200246
27 37 184786
27 38 255739
27 39 344618
28 29 130658
28 30 64608
28 31 335445
28 32 151409
28 33 93398
28 34 114502
28 35 160979
28 36 133355
28 37 48306
28 38 124792
28 39 214975
29 30 66050
29 31 314878
29 32 185455
29 33 39146
29 34 18042
29 35 91764
29 36 100235
29 37 82352
29 38 126234
29 39 195469
30 31 303441
30 32 119405
30 33 61394
30 34 82498
30 35 96371
30 36 68747
30 37 16302
30 38 60184
30 39 150367
31 32 269596
31 33 298111
31 34 319215
31 35 335359
31 36 311909
31 37 287139
31 38 363625
31 39 415756
32 33 148195
32 34 169299
32 35 211886
32 36 184262
32 37 103103
32 38 179589
32 39 231720
33 34 21104
33 35 118358
33 36 126306
33 37 45092
33 38 121578
33 39 211761
34 35 105642
34 36 109748
34 37 66196
34 38 142682
34 39 213511
35 36 41768
35 37 112673
35 38 126871
35 39 186140
36 37 85049
36 38 85103
36 39 219114
37 38 76486
37 39 166669
38 39 152877
Case #10: 45
1 2 841921
1 3 835799
1 4 927288
1 5 804588
1 6 604832
1 7 961711
1 8 599745
1 9 762347
1 10 962263
2 3 472111
2 4 160033
2 5 37333
2 6 237089
2 7 506190
2 8 567700
2 9 705554
2 10 205182
3 4 632144
3 5 509444
3 6 338629
3 7 598020
3 8 236054
3 9 398656
3 10 598572
4 5 197366
4 6 322456
4 7 666223
4 8 425031
4 9 587633
4 10 365215
5 6 199756
5 7 543523
5 8 605033
5 9 742887
5 10 242515
6 7 668613
6 8 574683
6 9 737285
6 10 367605
7 8 361966
7 9 199364
7 10 301008
8 9 162602
8 10 362518
9 10 500372
Case #11: 389
1 2 780919
1 3 863984
1 5 631275
1 6 324740
1 7 917724
1 9 771523
1 10 421180
1 13 547430
1 14 725142
1 16 477371
1 17 405570
1 18 624682
1 20 477174
1 21 730871
1 22 566170
1 23 543476
1 25 970633
1 26 733439
1 27 993405
1 28 754561
1 29 690869
1 30 885446
1 31 616660
1 32 787578
1 33 734359
2 3 882410
2 5 762714
2 6 611579
2 7 611628
2 10 359739
2 11 878051
2 13 778891
2 14 621233
2 15 500001
2 16 415930
2 17 692409
2 18 563241
2 19 950315
2 20 764013
2 21 769147
2 22 381977
2 23 674915
2 25 347780
2 26 584974
2 27 931964
2 28 607101
2 29 658878
2 30 824005
2 31 654936
2 33 672918
3 5 703093
3 6 539244
3 7 994515
3 9 986027
3 10 635684
3 11 846057
3 12 849107
3 13 704388
3 14 858545
3 16 691875
3 17 620074
3 18 839186
3 20 691678
3 21 807662
3 22 500433
3 23 320508
3 25 747665
3 26 510471
3 27 948486
3 28 555550
3 29 467901
3 31 693451
3 33 948863
4 9 654578
4 10 830371
4 12 771976
4 16 886562
4 18 685593
4 30 668279
4 33 517192
5 6 306535
5 7 899519
5 9 753318
5 10 402975
5 11 632322
5 12 911184
5 13 529225
5 14 706937
5 16 459166
5 17 387365
5 18 606477
5 19 586547
5 20 458969
5 21 712666
5 22 842751
5 23 382585
5 25 809742
5 26 572548
5 27 975200
5 28 617627
5 29 235192
5 30 867241
5 31 598455
5 32 769373
5 33 716154
6 7 592984
6 8 774108
6 9 446783
6 10 251840
6 11 744285
6 12 747335
6 13 222690
6 14 400402
6 15 704611
6 16 308031
6 17 80830
6 18 455342
6 19 842416
6 20 152434
6 21 406131
6 22 564879
6 23 218736
6 25 645893
6 26 408699
6 27 824065
6 28 429821
6 29 366129
6 30 716106
6 31 291920
6 32 462838
6 33 565019
7 8 611670
7 9 734899
7 10 806554
7 11 799981
7 12 907595
7 13 375042
7 14 552754
7 15 111627
7 16 750363
7 17 512154
7 20 440550
7 21 415275
7 22 574023
7 23 674007
7 25 806153
7 26 568959
7 28 438965
7 29 821400
7 31 301064
7 32 894162
8 13 835138
8 15 659671
8 17 693278
8 20 764882
8 23 992844
8 27 839513
8 31 904368
8 32 311270
9 10 698623
9 11 932752
9 13 507813
9 14 685525
9 15 846526
9 16 754814
9 17 365953
9 18 902125
9 20 437557
9 21 548046
9 22 706794
9 23 665519
9 25 938924
9 26 701730
9 28 571736
9 29 812912
9 31 433835
9 32 747961
10 11 696269
10 12 843775
10 13 431512
10 14 609224
10 15 859740
10 16 56191
10 17 332670
10 18 203502
10 19 590576
10 20 404274
10 21 657971
10 22 741716
10 23 315176
10 25 707519
10 26 505139
10 27 572225
10 28 550218
10 29 299139
10 30 464266
10 31 543760
10 32 714678
10 33 313179
11 13 529503
11 14 707215
11 15 911608
11 16 640078
11 17 671363
11 18 899771
11 20 638403
11 21 613128
11 22 496074
11 23 525549
11 25 952706
11 26 715512
11 28 361016
11 29 397130
11 31 498917
12 13 532553
12 14 710265
12 16 899966
12 17 674413
12 20 746017
12 21 999714
12 22 988765
12 23 528599
12 25 955756
12 26 718562
12 28 763641
12 29 675992
12 31 885503
13 14 177712
13 15 486669
13 16 375321
13 17 141860
13 18 635014
13 20 213464
13 21 467161
13 22 535824
13 23 383880
13 25 431111
13 26 193917
13 27 631932
13 28 490851
13 29 531273
13 30 895778
13 31 352950
13 32 523868
13 33 744691
14 15 664381
14 16 553033
14 17 319572
14 18 812726
14 20 391176
14 21 644873
14 22 358112
14 23 561592
14 25 273453
14 26 371629
14 27 454220
14 28 583236
14 29 708985
14 31 530662
14 32 701580
14 33 922403
15 16 861990
15 17 623781
15 20 552177
15 21 526902
15 22 685650
15 23 785634
15 25 847781
15 26 680586
15 28 550592
15 29 933027
15 31 412691
15 32 970941
16 17 388861
16 18 259693
16 19 646767
16 20 460465
16 21 714162
16 22 797907
16 23 371367
16 25 763710
16 26 561330
16 27 628416
16 28 606409
16 29 242948
16 30 520457
16 31 599951
16 32 770869
16 33 369370
17 18 536172
17 19 923246
17 20 71604
17 21 325301
17 22 484049
17 23 299566
17 25 572971
17 26 335777
17 27 773792
17 28 348991
17 29 446959
17 30 796936
17 31 211090
17 32 382008
17 33 645849
18 19 387074
18 20 607776
18 21 861473
18 22 945218
18 23 518678
18 25 911021
18 26 708641
18 27 775727
18 28 753720
18 29 502641
18 30 319488
18 31 747262
18 32 918180
18 33 168401
19 20 994850
19 23 905752
19 29 821739
19 30 369760
19 33 520847
20 21 253697
20 22 412445
20 23 371170
20 25 644575
20 26 407381
20 27 845396
20 28 277387
20 29 518563
20 30 868540
20 31 139486
20 32 453612
20 33 717453
21 22 387170
21 23 487154
21 25 898272
21 26 661078
21 28 252112
21 29 634547
21 31 114211
21 32 707309
21 33 971150
22 23 460166
22 25 631565
22 26 650129
22 27 812332
22 28 225124
22 29 607559
22 31 272959
22 32 866057
23 25 427157
23 26 189963
23 27 627978
23 28 235042
23 29 147393
23 30 779442
23 31 372943
23 32 681574
23 33 628355
25 26 237194
25 27 727673
25 28 662199
25 29 574550
25 31 784061
25 32 954979
26 27 817941
26 28 425005
26 29 337356
26 30 969405
26 31 546867
26 32 717785
26 33 818318
27 28 863020
27 29 775371
27 31 984882
27 33 885404
28 29 382435
28 31 137901
28 32 730999
28 33 863397
29 30 763405
29 31 520336
29 32 828967
29 33 612318
30 33 151087
31 32 593098
31 33 856939
Case #12: Impossible
Case #13: 123
1 28 694779
2 10 490201
2 15 860522
2 33 671058
3 5 802284
3 7 886112
3 14 8622
3 16 944272
3 18 750945
3 25 524671
3 29 533220
3 30 419142
3 42 214900
3 43 747090
3 44 966790
3 46 715590
3 49 722781
4 23 767546
4 26 753738
4 34 540156
4 35 373974
4 40 630043
5 14 793662
6 49 843243
7 14 894734
7 16 936143
7 18 798773
7 23 724209
7 25 361441
7 29 525091
7 30 466970
7 42 671212
7 46 763418
7 49 770609
8 17 937516
8 25 882667
8 30 777138
8 42 981380
8 46 480690
9 29 965690
10 11 703733
10 15 370321
10 19 889283
10 33 180857
10 38 537950
10 41 899323
11 33 522876
11 41 195590
11 49 791697
12 36 977662
14 16 935650
14 18 759567
14 25 533293
14 29 524598
14 30 427764
14 42 223522
14 43 755712
14 44 975412
14 46 724212
14 49 731403
15 33 551178
15 38 167629
16 23 801715
16 26 671534
16 29 411052
17 24 628740
17 25 858803
17 30 753274
17 42 957516
17 44 981304
17 46 456826
18 19 700241
18 25 437332
18 30 331803
18 42 536045
18 44 879451
18 45 987429
18 46 628251
18 49 635442
19 25 897635
19 33 708426
20 50 938287
21 28 660799
22 46 771871
23 26 773336
23 34 559754
23 35 393572
23 36 607578
25 29 886532
25 30 105529
25 42 309771
25 43 841961
25 44 653177
